Longitude,Latitude,MODE
140.91371,-35.26057,REGIONAL BUS
141.81027,-35.16986,REGIONAL BUS
142.02383,-35.13594,REGIONAL BUS
148.0916,-37.73231,REGIONAL BUS
149.592,-37.47506,REGIONAL BUS
144.068,-36.99597,REGIONAL BUS
145.13203,-36.37185,REGIONAL BUS
144.50506,-36.61523,REGIONAL BUS
147.72506,-37.9191,REGIONAL BUS
146.47031,-38.21891,REGIONAL BUS
144.32291,-37.38957,REGIONAL BUS
142.39542,-36.25334,REGIONAL BUS
142.20078,-36.70779,REGIONAL BUS
148.08919,-37.7339,REGIONAL BUS
145.74714,-37.51088,REGIONAL BUS
145.7088,-37.42315,REGIONAL BUS
145.70898,-37.42213,REGIONAL BUS
145.71211,-37.32356,REGIONAL BUS
145.71236,-37.32387,REGIONAL BUS
145.70908,-37.19096,REGIONAL BUS
145.79768,-37.25465,REGIONAL BUS
145.79753,-37.25474,REGIONAL BUS
145.90966,-37.23263,REGIONAL BUS
142.2551,-36.66114,REGIONAL BUS
147.90481,-36.1958,REGIONAL BUS
143.80128,-37.48104,REGIONAL BUS
143.71347,-37.42084,REGIONAL BUS
143.714,-37.42055,REGIONAL BUS
143.63804,-37.35818,REGIONAL BUS
143.63778,-37.35772,REGIONAL BUS
148.12449,-37.54487,REGIONAL BUS
148.12523,-37.54613,REGIONAL BUS
148.17224,-37.49872,REGIONAL BUS
146.70159,-38.29434,REGIONAL BUS
143.97474,-36.97946,REGIONAL BUS
148.26318,-37.22742,REGIONAL BUS
148.22538,-37.35833,REGIONAL BUS
148.02826,-37.86086,REGIONAL BUS
145.81152,-38.43799,REGIONAL BUS
145.826,-38.43373,REGIONAL BUS
143.55786,-35.35996,REGIONAL BUS
142.92072,-37.29424,REGIONAL BUS
142.92403,-37.29453,REGIONAL BUS
142.91765,-37.28567,REGIONAL BUS
142.91531,-37.28611,REGIONAL BUS
142.91539,-37.2819,REGIONAL BUS
146.83717,-36.48995,REGIONAL BUS
144.13855,-37.31837,REGIONAL BUS
144.13842,-37.3101,REGIONAL BUS
144.10477,-37.62704,REGIONAL BUS
145.63586,-35.91646,REGIONAL BUS
142.62081,-38.27966,REGIONAL BUS
142.65768,-38.22072,REGIONAL BUS
142.68513,-38.14935,REGIONAL BUS
149.75771,-37.55758,REGIONAL BUS
149.67931,-37.48042,REGIONAL BUS
142.03473,-37.74401,REGIONAL BUS
142.05864,-37.74375,REGIONAL BUS
142.02958,-37.7372,REGIONAL BUS
142.0176,-37.74457,REGIONAL BUS
142.00776,-37.73565,REGIONAL BUS
142.00632,-37.72686,REGIONAL BUS
142.0192,-37.72815,REGIONAL BUS
142.02838,-37.73731,REGIONAL BUS
144.74929,-37.41396,REGIONAL BUS
141.99392,-35.89809,REGIONAL BUS
142.05302,-35.76979,REGIONAL BUS
141.98832,-36.14237,REGIONAL BUS
142.03421,-36.20895,REGIONAL BUS
142.02546,-36.29772,REGIONAL BUS
143.51497,-37.27477,REGIONAL BUS
143.5146,-37.27444,REGIONAL BUS
142.85931,-37.4406,REGIONAL BUS
