venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
Producer,-37.21076,142.86395,Regional,215011387,8281.6,800m+,4,low_access_800m_plus,False
Producer,-37.21076,142.86395,Regional,215011387,8281.6,800m+,4,low_access_800m_plus,False
Producer,-37.80232,145.55059,Metro,211051286,1986.6,800m+,4,low_access_800m_plus,False
Producer,-36.33325,145.44495,Regional,216031416,4136.6,800m+,4,low_access_800m_plus,False
Producer,-37.82904,144.96044,Metro,206051512,239.2,200-400m,2,high_access_0_400m,False
Producer,-37.055,142.78157,Regional,215011392,74.1,0-200m,1,high_access_0_400m,False
Producer,-37.67296,145.15768,Metro,209031215,52.4,0-200m,1,high_access_0_400m,False
Producer,-34.18646,142.16466,Regional,215021469,257.7,200-400m,2,high_access_0_400m,False
Producer,-38.04732,145.41272,Metro,212011546,1818.1,800m+,4,low_access_800m_plus,False
Producer,-38.04732,145.41272,Metro,212011546,1818.1,800m+,4,low_access_800m_plus,False
Producer,-38.14668,144.59692,Regional,203031048,59.8,0-200m,1,high_access_0_400m,False
Producer,-37.5408,144.56056,Regional,210021232,5495.2,800m+,4,low_access_800m_plus,False
Producer,-38.36993,144.99365,Metro,214021378,6117.1,800m+,4,low_access_800m_plus,False
Producer,-37.75367,145.021,Metro,209021428,58.5,0-200m,1,high_access_0_400m,False
Producer,-38.47362,142.9682,Regional,217031475,1111.9,800m+,4,low_access_800m_plus,False
Producer,-37.75226,145.02927,Metro,209021428,563.3,400-800m,3,moderate_access_400_800m,False
Producer,-37.76898,144.97326,Metro,206011106,158.1,0-200m,1,high_access_0_400m,False
Producer,-36.9553,144.69552,Regional,202021029,4289.6,800m+,4,low_access_800m_plus,False
Producer,-36.9553,144.69552,Regional,202021029,4289.6,800m+,4,low_access_800m_plus,False
Producer,-38.16637,145.94824,Regional,205011079,244.6,200-400m,2,high_access_0_400m,False
Producer,-38.2219,144.51625,Regional,203031490,1542.9,800m+,4,low_access_800m_plus,False
Producer,-37.76592,144.9729,Metro,206011106,76.3,0-200m,1,high_access_0_400m,False
Producer,-36.36661,146.69959,Regional,204031068,1759.2,800m+,4,low_access_800m_plus,False
Producer,-36.36661,146.69959,Regional,204031068,1759.2,800m+,4,low_access_800m_plus,False
Producer,-38.30455,145.14577,Metro,214021379,3135.1,800m+,4,low_access_800m_plus,False
Producer,-37.08641,145.86971,Regional,204011057,8536.0,800m+,4,low_access_800m_plus,False
Producer,-37.98937,145.10039,Metro,208031193,569.9,400-800m,3,moderate_access_400_800m,False
Producer,-37.21308,142.89747,Regional,215011387,7735.6,800m+,4,low_access_800m_plus,False
Producer,-38.44506,143.5648,Regional,217031473,11119.8,800m+,4,low_access_800m_plus,False
Producer,-37.82029,145.01369,Metro,206071517,37.4,0-200m,1,high_access_0_400m,False
Producer,-38.41997,145.04318,Metro,214021378,1009.4,800m+,4,low_access_800m_plus,False
Producer,-38.14013,144.60565,Regional,203031051,732.2,400-800m,3,moderate_access_400_800m,False
Producer,-37.51574,143.72391,Regional,201021010,2060.1,800m+,4,low_access_800m_plus,False
Producer,-37.55971,143.8559,Regional,201011002,123.4,0-200m,1,high_access_0_400m,False
Producer,-37.24527,145.50442,Regional,204011062,10145.0,800m+,4,low_access_800m_plus,False
Producer,-37.35591,144.20033,Regional,201021011,2393.4,800m+,4,low_access_800m_plus,False
